,Date,Company,ISIN,Price,Change
0,2025-05-07,Allianz Aktie,DE0008404005,"372,15  EUR","-1,19 %"
1,2025-05-07,ASML Holding Aktie,NL0010273215,"602,80  EUR","0,65 %"
2,2025-05-07,Alphabet C Aktie,US02079K1079,"146,01  EUR","0,65 %"
3,2025-05-07,Amazon Aktie,US0231351067,"165,08  EUR","1,70 %"
4,2025-05-07,Apple Aktie,US0378331005,"173,94  EUR","-0,18 %"
5,2025-05-07,CyberArk Software Aktie,IL0011334468,"321,75  EUR","0,99 %"
0,2025-05-07,Allianz Aktie,DE0008404005,"372,10  EUR","-1,21 %"
1,2025-05-07,ASML Holding Aktie,NL0010273215,"602,05  EUR","0,53 %"
2,2025-05-07,Alphabet C Aktie,US02079K1079,"145,76  EUR","0,48 %"
3,2025-05-07,Amazon Aktie,US0231351067,"164,74  EUR","1,49 %"
4,2025-05-07,Apple Aktie,US0378331005,"174,13  EUR","-0,07 %"
5,2025-05-07,CyberArk Software Aktie,IL0011334468,"319,35  EUR","0,24 %"
