,Date,Company,ISIN,Price,Change
0,2025-04-29,Allianz Aktie,DE0008404005,"362,45  EUR","0,37 %"
1,2025-04-29,ASML Holding Aktie,NL0010273215,"588,30  EUR","0,03 %"
2,2025-04-29,Alphabet C Aktie,US02079K1079,"142,42  EUR","0,48 %"
3,2025-04-29,Amazon Aktie,US0231351067,"164,85  EUR","0,65 %"
4,2025-04-29,Apple Aktie,US0378331005,"185,80  EUR","1,03 %"
5,2025-04-29,CyberArk Software Aktie,IL0011334468,"310,60  EUR","2,17 %"
0,2025-05-01,Allianz Aktie,DE0008404005,"365,30  EUR","0,84 %"
1,2025-05-01,ASML Holding Aktie,NL0010273215,"590,85  EUR","1,14 %"
2,2025-05-01,Alphabet C Aktie,US02079K1079,"143,70  EUR","1,07 %"
3,2025-05-01,Amazon Aktie,US0231351067,"166,97  EUR","1,55 %"
4,2025-05-01,Apple Aktie,US0378331005,"187,62  EUR","1,30 %"
5,2025-05-01,CyberArk Software Aktie,IL0011334468,"311,20  EUR","0,19 %"
0,2025-05-02,Allianz Aktie,DE0008404005,"366,55  EUR","0,34 %"
1,2025-05-02,ASML Holding Aktie,NL0010273215,"594,70  EUR","0,65 %"
2,2025-05-02,Alphabet C Aktie,US02079K1079,"145,21  EUR","1,05 %"
3,2025-05-02,Amazon Aktie,US0231351067,"163,97  EUR","-1,80 %"
4,2025-05-02,Apple Aktie,US0378331005,"183,51  EUR","-2,19 %"
5,2025-05-02,CyberArk Software Aktie,IL0011334468,"310,35  EUR","-0,27 %"
0,2025-05-03,Allianz Aktie,DE0008404005,"369,85  EUR","0,00 %"
1,2025-05-03,ASML Holding Aktie,NL0010273215,"608,65  EUR","0,00 %"
2,2025-05-03,Alphabet C Aktie,US02079K1079,"146,63  EUR","0,00 %"
3,2025-05-03,Amazon Aktie,US0231351067,"168,13  EUR","0,00 %"
4,2025-05-03,Apple Aktie,US0378331005,"181,50  EUR","0,00 %"
5,2025-05-03,CyberArk Software Aktie,IL0011334468,"316,10  EUR","0,00 %"
0,2025-05-04,Allianz Aktie,DE0008404005,"369,85  EUR","0,00 %"
1,2025-05-04,ASML Holding Aktie,NL0010273215,"608,65  EUR","0,00 %"
2,2025-05-04,Alphabet C Aktie,US02079K1079,"146,56  EUR","-0,05 %"
3,2025-05-04,Amazon Aktie,US0231351067,"168,03  EUR","-0,06 %"
4,2025-05-04,Apple Aktie,US0378331005,"181,47  EUR","-0,02 %"
5,2025-05-04,CyberArk Software Aktie,IL0011334468,"316,10  EUR","0,00 %"
0,2025-05-05,Allianz Aktie,DE0008404005,"376,60  EUR","1,28 %"
1,2025-05-05,ASML Holding Aktie,NL0010273215,"610,15  EUR","0,25 %"
2,2025-05-05,Alphabet C Aktie,US02079K1079,"147,71  EUR","0,78 %"
3,2025-05-05,Amazon Aktie,US0231351067,"165,70  EUR","-1,39 %"
4,2025-05-05,Apple Aktie,US0378331005,"177,68  EUR","-2,09 %"
5,2025-05-05,CyberArk Software Aktie,IL0011334468,"323,45  EUR","2,33 %"
0,2025-05-06,Allianz Aktie,DE0008404005,"376,00  EUR","0,12 %"
1,2025-05-06,ASML Holding Aktie,NL0010273215,"601,00  EUR","-0,64 %"
2,2025-05-06,Alphabet C Aktie,US02079K1079,"145,45  EUR","-0,87 %"
3,2025-05-06,Amazon Aktie,US0231351067,"163,52  EUR","-0,67 %"
4,2025-05-06,Apple Aktie,US0378331005,"174,99  EUR","-0,43 %"
5,2025-05-06,CyberArk Software Aktie,IL0011334468,"318,45  EUR","-1,15 %"
0,2025-05-07,Allianz Aktie,DE0008404005,"372,35  EUR","-1,14 %"
1,2025-05-07,ASML Holding Aktie,NL0010273215,"604,50  EUR","0,94 %"
2,2025-05-07,Alphabet C Aktie,US02079K1079,"138,23  EUR","-4,71 %"
3,2025-05-07,Amazon Aktie,US0231351067,"165,95  EUR","2,24 %"
4,2025-05-07,Apple Aktie,US0378331005,"170,89  EUR","-1,93 %"
5,2025-05-07,CyberArk Software Aktie,IL0011334468,"317,55  EUR","-0,33 %"
0,2025-05-08,Allianz Aktie,DE0008404005,"372,85  EUR","-0,68 %"
1,2025-05-08,ASML Holding Aktie,NL0010273215,"627,85  EUR","1,83 %"
2,2025-05-08,Alphabet C Aktie,US02079K1079,"137,98  EUR","1,76 %"
3,2025-05-08,Amazon Aktie,US0231351067,"168,75  EUR","0,89 %"
4,2025-05-08,Apple Aktie,US0378331005,"174,25  EUR","0,15 %"
5,2025-05-08,CyberArk Software Aktie,IL0011334468,"319,90  EUR","0,16 %"
0,2025-05-09,Allianz Aktie,DE0008404005,"360,75  EUR","-3,36 %"
1,2025-05-09,ASML Holding Aktie,NL0010273215,"632,15  EUR","0,32 %"
2,2025-05-09,Alphabet C Aktie,US02079K1079,"138,03  EUR","-0,17 %"
3,2025-05-09,Amazon Aktie,US0231351067,"171,41  EUR","0,32 %"
4,2025-05-09,Apple Aktie,US0378331005,"176,45  EUR","0,43 %"
5,2025-05-09,CyberArk Software Aktie,IL0011334468,"325,85  EUR","0,26 %"
0,2025-05-10,Allianz Aktie,DE0008404005,"363,50  EUR","0,14 %"
1,2025-05-10,ASML Holding Aktie,NL0010273215,"627,25  EUR","-0,04 %"
2,2025-05-10,Alphabet C Aktie,US02079K1079,"137,30  EUR","0,00 %"
3,2025-05-10,Amazon Aktie,US0231351067,"171,86  EUR","0,00 %"
4,2025-05-10,Apple Aktie,US0378331005,"176,32  EUR","0,36 %"
5,2025-05-10,CyberArk Software Aktie,IL0011334468,"319,20  EUR","0,00 %"
0,2025-05-11,Allianz Aktie,DE0008404005,"363,50  EUR","0,14 %"
